mode,domain,feature,n_present,n_disagree_with_feature,disagree_rate,baseline_disagree_rate,uplift,coverage_of_disagreements,overall_disagree_rate
zero_shot,nyt,implicit_meaning,290,127,0.4379,0.3317,0.1062,0.648,0.3936
zero_shot,nyt,mixed_sentiment,67,27,0.403,0.3921,0.0109,0.1378,0.3936
zero_shot,nyt,hedging,70,28,0.4,0.3925,0.0075,0.1429,0.3936
zero_shot,nyt,slang,3,1,0.3333,0.3939,-0.0606,0.0051,0.3936
zero_shot,nyt,sarcasm,23,6,0.2609,0.4,-0.1391,0.0306,0.3936
zero_shot,amazon,hedging,207,41,0.1981,0.0785,0.1196,0.6406,0.128
zero_shot,amazon,implicit_meaning,364,57,0.1566,0.0515,0.1051,0.8906,0.128
zero_shot,amazon,slang,45,9,0.2,0.1209,0.0791,0.1406,0.128
zero_shot,amazon,mixed_sentiment,265,43,0.1623,0.0894,0.0729,0.6719,0.128
zero_shot,amazon,sarcasm,127,12,0.0945,0.1394,-0.0449,0.1875,0.128
domain_specific,nyt,slang,3,2,0.6667,0.5111,0.1556,0.0078,0.512
domain_specific,nyt,mixed_sentiment,67,33,0.4925,0.5151,-0.0225,0.1294,0.512
domain_specific,nyt,hedging,70,32,0.4571,0.521,-0.0639,0.1255,0.512
domain_specific,nyt,implicit_meaning,290,140,0.4828,0.5529,-0.0701,0.549,0.512
domain_specific,nyt,sarcasm,23,9,0.3913,0.5179,-0.1266,0.0353,0.512
domain_specific,amazon,hedging,207,116,0.5604,0.5324,0.028,0.4265,0.544
domain_specific,amazon,slang,45,19,0.4222,0.556,-0.1338,0.0699,0.544
domain_specific,amazon,implicit_meaning,364,181,0.4973,0.6691,-0.1719,0.6654,0.544
domain_specific,amazon,mixed_sentiment,265,115,0.434,0.6681,-0.2341,0.4228,0.544
domain_specific,amazon,sarcasm,127,29,0.2283,0.6515,-0.4231,0.1066,0.544
