mode,domain,feature,agreement,cohen_kappa,llama_positive_rate,qwen_positive_rate,n
zero_shot,nyt,sarcasm,0.8795,0.3576,0.08835341365461848,0.12048192771084337,498
zero_shot,nyt,slang,0.9779,-0.0037,0.020080321285140562,0.002008032128514056,498
zero_shot,nyt,hedging,0.7169,0.3931,0.6004016064257028,0.6666666666666666,498
zero_shot,nyt,mixed_sentiment,0.6747,-0.0036,0.3112449799196787,0.03413654618473896,498
zero_shot,nyt,implicit_meaning,0.5241,0.03,0.03413654618473896,0.4899598393574297,498
zero_shot,amazon,sarcasm,0.8253,0.458,0.21084337349397592,0.1927710843373494,498
zero_shot,amazon,slang,0.9056,0.2279,0.10642570281124498,0.020080321285140562,498
zero_shot,amazon,hedging,0.6265,0.2314,0.6164658634538153,0.5602409638554217,498
zero_shot,amazon,mixed_sentiment,0.6325,0.1283,0.22088353413654618,0.35943775100401604,498
zero_shot,amazon,implicit_meaning,0.49,0.0713,0.06224899598393574,0.5562248995983936,498
domain_specific,nyt,sarcasm,0.8795,0.3576,0.08835341365461848,0.12048192771084337,498
domain_specific,nyt,slang,0.9779,-0.0037,0.020080321285140562,0.002008032128514056,498
domain_specific,nyt,hedging,0.7169,0.3931,0.6004016064257028,0.6666666666666666,498
domain_specific,nyt,mixed_sentiment,0.6747,-0.0036,0.3112449799196787,0.03413654618473896,498
domain_specific,nyt,implicit_meaning,0.5241,0.03,0.03413654618473896,0.4899598393574297,498
domain_specific,amazon,sarcasm,0.8253,0.458,0.21084337349397592,0.1927710843373494,498
domain_specific,amazon,slang,0.9056,0.2279,0.10642570281124498,0.020080321285140562,498
domain_specific,amazon,hedging,0.6265,0.2314,0.6164658634538153,0.5602409638554217,498
domain_specific,amazon,mixed_sentiment,0.6325,0.1283,0.22088353413654618,0.35943775100401604,498
domain_specific,amazon,implicit_meaning,0.49,0.0713,0.06224899598393574,0.5562248995983936,498
